계약년월,계약일,시군구,본번,부번,단지명,전용면적(㎡),거래금액(만원),층,건축년도
201701,16,세종특별자치시 고운동,1708,0,가락마을3단지(호반베르디움),59.8652,23500,3,2014
201701,16,세종특별자치시 금남면 용포리,320,0,두진리버빌,43.008,9100,8,2000
201701,16,세종특별자치시 금남면 용포리,263,0,신성연기미소지움,84.8809,16000,5,2007
201701,16,세종특별자치시 나성동,750,0,세종마루(CB5-3BL),24.385,12000,8,2015
201701,16,세종특별자치시 부강면 부강리,970,3,청솔,49.77,7300,2,1994
201701,16,세종특별자치시 연서면 봉암리,622,0,대원네스트빌,59.858,8500,6,2002
201701,16,세종특별자치시 조치원읍 신안리,542,0,세종e편한세상,125.7081,24500,13,2013
201701,16,세종특별자치시 조치원읍 신안리,542,0,세종e편한세상,84.7067,19400,10,2013
201701,16,세종특별자치시 조치원읍 신흥리,399,0,조치원 신흥 e편한세상(아),84.974,22300,7,2008
201701,16,세종특별자치시 종촌동,652,0,가재마을12단지(중흥에스클래스센텀파크2차),84.9911,36000,13,2015
201701,17,세종특별자치시 고운동,1400,0,이지더원(가락마을10단지),107.698,35000,9,2015
201701,17,세종특별자치시 도담동,633,0,도램마을20단지(에듀파크),84.857,35300,22,2014
201701,17,세종특별자치시 도담동,627,0,엘가에코힐(도램마을5단지),59.9973,27700,7,2015
201701,17,세종특별자치시 어진동,548,0,세종리슈빌S,19.3525,11400,10,2014
201701,17,세종특별자치시 전의면 동교리,197,16,재동,59.7,9000,3,1992
201701,17,세종특별자치시 조치원읍 신안리,542,0,세종e편한세상,125.7081,23900,3,2013
201701,17,세종특별자치시 조치원읍 신흥리,393,0,신흥주공,59.99,12500,11,1999
201701,17,세종특별자치시 조치원읍 죽림리,92,0,신동아,59.76,9200,4,1996
201701,17,세종특별자치시 종촌동,654,0,가재마을11단지(한신휴플러스),84.815,36000,15,2013
201701,17,세종특별자치시 한솔동,939,0,첫마을1단지(퍼스트프라임),84.91,31300,2,2011
201701,17,세종특별자치시 한솔동,984,0,첫마을6단지(힐스테이트),84.08,28500,18,2012
201701,17,세종특별자치시 한솔동,978,0,첫마을7단지(래미안),114.61,42750,5,2012
201701,17,세종특별자치시 한솔동,978,0,첫마을7단지(래미안),59.1,25900,8,2012
201701,18,세종특별자치시 나성동,712,0,세종퍼스트 타워,28.007,8900,4,2013
201701,18,세종특별자치시 도담동,853,0,도램마을10단지 호반 어반시티,84.757,38000,5,2014
201701,18,세종특별자치시 도담동,664,0,라온프라이빗시티 Ⅰ,19.1676,8750,7,2014
201701,18,세종특별자치시 아름동,1339,0,범지기마을1단지(한양수자인에듀센텀),59.9789,24500,4,2015
201701,18,세종특별자치시 조치원읍 번암리,75,2,번암주공,39.69,5500,3,1989
201701,18,세종특별자치시 조치원읍 신흥리,399,0,조치원 신흥 e편한세상(아),84.974,22500,15,2008
201701,18,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,84.6641,19400,12,2008
201701,18,세종특별자치시 종촌동,690,0,가재마을5단지(현대엠코타운),59.9383,28400,9,2014
201701,18,세종특별자치시 한솔동,939,0,첫마을1단지(퍼스트프라임),84.91,33800,11,2011
201701,18,세종특별자치시 한솔동,971,0,첫마을5단지(푸르지오),84.62,29500,3,2012
201701,19,세종특별자치시 고운동,1401,0,가락마을13단지(대광로제비앙),59.655,23000,11,2015
201701,19,세종특별자치시 나성동,759,0,블루지움(2-4),45.15,14700,5,2015
201701,19,세종특별자치시 아름동,1276,0,범지기마을12단지(중흥S-에코타운),96.252,34800,3,2015
201701,20,세종특별자치시 도담동,853,0,도램마을10단지 호반 어반시티,84.757,40900,25,2014
201701,20,세종특별자치시 도담동,681,0,도램마을4단지(이지더원),59.9853,27900,12,2014
201701,20,세종특별자치시 도담동,855,0,도램마을9단지(제일풍경채),95.804,50500,27,2015
201701,20,세종특별자치시 도담동,859,0,현대힐스테이트(도램마을15단지),84.916,41500,7,2014
201701,20,세종특별자치시 소담동,325,0,새샘마을9단지(중흥S클래스 리버뷰),84.9779,39282,24,2016
201701,20,세종특별자치시 아름동,1297,0,범지기마을3단지(중흥에듀하이),96.1416,34300,2,2015
201701,20,세종특별자치시 조치원읍 남리,456,0,다원파크리안,83.256,13000,8,2003
201701,20,세종특별자치시 조치원읍 신흥리,393,0,신흥주공,49.29,11200,8,1999
201701,20,세종특별자치시 조치원읍 죽림리,92,0,신동아,59.76,9300,1,1996
201701,20,세종특별자치시 종촌동,690,0,가재마을5단지(현대엠코타운),59.9383,28300,8,2014
201701,20,세종특별자치시 한솔동,939,0,첫마을1단지(퍼스트프라임),119.77,45800,22,2011
201701,21,세종특별자치시 고운동,1708,0,가락마을3단지(호반베르디움),59.8652,25000,6,2014
201701,21,세종특별자치시 고운동,1708,0,가락마을3단지(호반베르디움),84.9893,32700,9,2014
201701,21,세종특별자치시 금남면 용포리,320,0,두진리버빌,43.008,9200,5,2000
201701,21,세종특별자치시 도담동,681,0,도램마을4단지(이지더원),59.9853,27700,8,2014
201701,21,세종특별자치시 소담동,00M3,0,새샘마을3단지(모아미래도리버시티),97.994,49000,13,2016
201701,21,세종특별자치시 아름동,1284,0,범지기마을7단지 호반에코시티,84.928,31300,13,2014
201701,21,세종특별자치시 조치원읍 남리,456,0,다원파크리안,65.78,10300,3,2003
201701,21,세종특별자치시 조치원읍 서창리,133,10,두진한라,59.64,6700,4,1991
201701,21,세종특별자치시 조치원읍 신안리,244,1,조형,39.97,4800,2,1991
201701,21,세종특별자치시 조치원읍 신안리,244,1,조형,39.97,4050,4,1991
201701,21,세종특별자치시 조치원읍 신흥리,393,0,신흥주공,84.84,15800,19,1999
201701,21,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,84.6641,19500,9,2008
201701,21,세종특별자치시 종촌동,654,0,가재마을11단지(한신휴플러스),84.9915,34800,5,2013
201701,21,세종특별자치시 종촌동,690,0,가재마을5단지(현대엠코타운),59.9383,28300,12,2014
201701,21,세종특별자치시 한솔동,971,0,첫마을5단지(푸르지오),84.7,26200,4,2012
201701,22,세종특별자치시 연동면 명학리,255,0,다산청정,41.328,4900,8,2001
201701,22,세종특별자치시 조치원읍 번암리,75,2,번암주공,39.69,5800,3,1989
201701,22,세종특별자치시 조치원읍 신흥리,399,0,조치원 신흥 e편한세상(아),84.976,18300,2,2008
201701,22,세종특별자치시 조치원읍 신흥리,399,0,조치원 신흥 e편한세상(아),151.659,28000,4,2008
201701,22,세종특별자치시 한솔동,971,0,첫마을5단지(푸르지오),84.7,28500,26,2012
201701,22,세종특별자치시 한솔동,971,0,첫마을5단지(푸르지오),84.62,28700,9,2012
201701,22,세종특별자치시 한솔동,984,0,첫마을6단지(힐스테이트),84.08,28450,9,2012
201701,23,세종특별자치시 고운동,1408,0,가락마을9단지(신동아 파밀리에),59.994,23600,8,2015
201701,23,세종특별자치시 도담동,666,0,라온프라이빗시티 Ⅱ,26.984,9850,3,2014
201701,23,세종특별자치시 도담동,666,0,라온프라이빗시티 Ⅱ,26.984,9970,4,2014
201701,23,세종특별자치시 아름동,1277,0,대우푸르지오(10단지),84.9539,29000,4,2014
201701,23,세종특별자치시 아름동,1277,0,대우푸르지오(10단지),84.9539,30400,9,2014
201701,23,세종특별자치시 아름동,1284,0,범지기마을7단지 호반에코시티,84.757,31800,4,2014
201701,23,세종특별자치시 연동면 명학리,255,0,다산청정,41.328,4500,7,2001
201701,23,세종특별자치시 조치원읍 신안리,542,0,세종e편한세상,103.2294,22400,7,2013
201701,23,세종특별자치시 조치원읍 신흥리,398,0,신흥대우푸르지오,84.9228,17000,4,2006
201701,23,세종특별자치시 조치원읍 침산리,89,0,욱일아파트,59.999,13600,6,1996
201701,23,세종특별자치시 한솔동,947,0,첫마을3단지(퍼스트프라임),119.59,52600,15,2011
201701,24,세종특별자치시 나성동,732,0,세종모닝시티2차,23.2849,11020,7,2016
201701,24,세종특별자치시 어진동,548,0,세종리슈빌S,18.0325,11000,14,2014
201701,24,세종특별자치시 어진동,548,0,세종리슈빌S,19.3525,11200,13,2014
201701,24,세종특별자치시 전동면 노장리,586,0,도원,49.41,6000,2,1994
201701,24,세종특별자치시 조치원읍 신안리,542,0,세종e편한세상,125.7081,26200,11,2013
201701,24,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,128.9491,22900,2,2008
201701,24,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,84.6641,18250,8,2008
201701,24,세종특별자치시 조치원읍 죽림리,72,0,죽림우방유셀,84.728,18500,6,2008
201701,24,세종특별자치시 종촌동,679,0,가재마을3단지(중흥에듀타운),108.81,38800,6,2015
201701,24,세종특별자치시 한솔동,939,0,첫마을1단지(퍼스트프라임),59.61,25300,3,2011
201701,24,세종특별자치시 한솔동,939,0,첫마을1단지(퍼스트프라임),119.86,43000,21,2011
201701,24,세종특별자치시 한솔동,984,0,첫마을6단지(힐스테이트),84.08,28000,7,2012
201701,25,세종특별자치시 고운동,1706,0,가락마을8단지(고운뜰아파트),74.77,25700,5,2015
201701,25,세종특별자치시 금남면 용포리,320,0,두진리버빌,43.008,9200,9,2000
201701,25,세종특별자치시 도담동,685,0,도램마을2단지(웅진스타클래스),44.99,21500,2,2014
201701,25,세종특별자치시 도담동,627,0,엘가에코힐(도램마을5단지),59.9973,28900,24,2015
201701,25,세종특별자치시 소담동,00M3,0,새샘마을3단지(모아미래도리버시티),97.994,40800,7,2016
201701,25,세종특별자치시 아름동,1339,0,범지기마을1단지(한양수자인에듀센텀),59.9789,26000,16,2015
201701,25,세종특별자치시 조치원읍 신흥리,399,0,조치원 신흥 e편한세상(아),118.198,27000,14,2008
201701,25,세종특별자치시 조치원읍 죽림리,92,0,신동아,59.76,9400,4,1996
201701,25,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,84.6641,19400,13,2008
201701,25,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,84.6641,17700,3,2008
201701,25,세종특별자치시 조치원읍 침산리,89,0,욱일아파트,84.99,15500,23,1996
201701,25,세종특별자치시 종촌동,652,0,가재마을12단지(중흥에스클래스센텀파크2차),84.9941,37500,26,2015
201701,25,세종특별자치시 종촌동,640,0,가재마을4단지(센트레빌),74.98,27600,4,2015
201701,25,세종특별자치시 종촌동,690,0,가재마을5단지(현대엠코타운),59.9474,26400,5,2014
201701,25,세종특별자치시 종촌동,690,0,가재마을5단지(현대엠코타운),59.9383,24000,2,2014
201701,25,세종특별자치시 한솔동,984,0,첫마을6단지(힐스테이트),84.18,28000,25,2012
201701,25,세종특별자치시 한솔동,978,0,첫마을7단지(래미안),101.45,39000,22,2012
201701,26,세종특별자치시 고운동,1708,0,가락마을3단지(호반베르디움),84.9893,31800,5,2014
201701,26,세종특별자치시 금남면 용포리,320,0,두진리버빌,43.008,8750,6,2000
201701,26,세종특별자치시 도담동,858,0,도램마을 14단지(한림풀에버),99.986,52000,17,2015
201701,26,세종특별자치시 아름동,1356,0,범지기마을 4단지,84.8568,31400,8,2014
201701,26,세종특별자치시 어진동,603,0,더샵센트럴시티,84.73,38500,3,2013
201701,26,세종특별자치시 장군면 금암리,268,0,영상마을아파트,30.7568,2500,1,2000
201701,26,세종특별자치시 한솔동,971,0,첫마을5단지(푸르지오),84.62,31000,11,2012
201701,26,세종특별자치시 한솔동,984,0,첫마을6단지(힐스테이트),84.08,28400,12,2012
201701,26,세종특별자치시 한솔동,978,0,첫마을7단지(래미안),114.24,63000,29,2012
201701,30,세종특별자치시 종촌동,640,0,가재마을4단지(센트레빌),84.99,34000,28,2015
201701,31,세종특별자치시 연동면 명학리,255,0,다산청정,49.277,6150,1,2001
201701,31,세종특별자치시 종촌동,683,0,가재마을2단지(호반베르디움3차),59.8652,27700,10,2014
201701,31,세종특별자치시 한솔동,939,0,첫마을1단지(퍼스트프라임),102.63,36000,25,2011
201701,31,세종특별자치시 한솔동,984,0,첫마을6단지(힐스테이트),84.11,28850,1,2012
201702,1,세종특별자치시 고운동,1395,0,가락마을16단지(에듀그린),59.9964,23500,22,2015
201702,1,세종특별자치시 금남면 용포리,320,0,두진리버빌,43.008,9300,10,2000
201702,1,세종특별자치시 도담동,641,0,도램마을16단지(모아미래도),84.969,28800,1,2015
201702,1,세종특별자치시 아름동,1279,0,푸르지오(8단지),84.9837,28700,1,2013
201702,1,세종특별자치시 어진동,649,0,호수의 아침,17.834,9100,3,2014
201702,1,세종특별자치시 조치원읍 교리,12,1,목화,84.94,10000,13,1994
201702,1,세종특별자치시 조치원읍 번암리,75,2,번암주공,47.01,7000,3,1989
201702,1,세종특별자치시 조치원읍 신안리,542,0,세종e편한세상,84.7067,19500,9,2013
201702,1,세종특별자치시 조치원읍 신흥리,398,0,신흥대우푸르지오,104.9044,22900,6,2006
201702,1,세종특별자치시 조치원읍 신흥리,398,0,신흥대우푸르지오,126.6976,24000,6,2006
201702,1,세종특별자치시 조치원읍 신흥리,398,0,신흥대우푸르지오,144.2557,26680,11,2006
201702,1,세종특별자치시 조치원읍 죽림리,92,0,신동아,59.76,9600,13,1996
201702,1,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,84.6641,17500,2,2008
201702,1,세종특별자치시 조치원읍 죽림리,72,0,죽림우방유셀,84.8058,18800,8,2008
201702,1,세종특별자치시 한솔동,939,0,첫마을1단지(퍼스트프라임),84.91,30400,4,2011
201702,1,세종특별자치시 한솔동,978,0,첫마을7단지(래미안),84.7,33500,16,2012
201702,2,세종특별자치시 고운동,1706,0,가락마을8단지(고운뜰아파트),84.89,27800,22,2015
201702,2,세종특별자치시 금남면 용포리,263,0,신성연기미소지움,84.8768,19000,2,2007
201702,2,세종특별자치시 나성동,714,0,에스알파크,35.193,12900,8,2014
201702,2,세종특별자치시 도담동,855,0,도램마을9단지(제일풍경채),95.804,44700,6,2015
201702,2,세종특별자치시 아름동,1282,0,한신엘리트파크(범지기9단지),99.9834,34000,16,2015
201702,2,세종특별자치시 어진동,649,0,호수의 아침,17.425,8400,2,2014
201702,2,세종특별자치시 전동면 노장리,586,0,도원,49.41,4900,1,1994
201702,2,세종특별자치시 조치원읍 신안리,35,3,유니빌,28.168,3700,2,2002
201702,2,세종특별자치시 조치원읍 신안리,35,3,유니빌,28.168,3800,11,2002
201702,2,세종특별자치시 조치원읍 신흥리,398,0,신흥대우푸르지오,104.9044,22800,7,2006
201702,2,세종특별자치시 조치원읍 침산리,89,0,욱일아파트,59.999,11000,6,1996
201702,2,세종특별자치시 종촌동,697,0,가재마을9단지(세종한신휴플러스리버파크),96.31,39500,8,2014
201702,2,세종특별자치시 한솔동,971,0,첫마을5단지(푸르지오),84.7,27000,24,2012
201702,2,세종특별자치시 한솔동,984,0,첫마을6단지(힐스테이트),114.19,35000,8,2012
201702,3,세종특별자치시 고운동,1703,0,이지더원(가락마을4단지),79.5988,27500,4,2014
201702,3,세종특별자치시 아름동,1277,0,대우푸르지오(10단지),84.9539,31500,20,2014
201702,3,세종특별자치시 아름동,1276,0,범지기마을12단지(중흥S-에코타운),96.252,46800,14,2015
201702,3,세종특별자치시 조치원읍 번암리,75,2,번암주공,39.3,5900,2,1989
201702,3,세종특별자치시 조치원읍 신안리,244,1,조형,39.97,6300,2,1991
201702,3,세종특별자치시 조치원읍 신흥리,399,0,조치원 신흥 e편한세상(아),84.976,18900,5,2008
201702,3,세종특별자치시 한솔동,939,0,첫마을1단지(퍼스트프라임),59.61,24000,3,2011
201702,4,세종특별자치시 고운동,1395,0,가락마을16단지(에듀그린),59.9964,25500,12,2015
201702,4,세종특별자치시 고운동,1705,0,가락마을5단지(유승한내들),59.9058,23500,4,2015
201702,4,세종특별자치시 고운동,1706,0,가락마을8단지(고운뜰아파트),74.77,25900,15,2015
201702,4,세종특별자치시 금남면 용포리,320,0,두진리버빌,43.008,9300,9,2000
201702,4,세종특별자치시 금남면 용포리,320,0,두진리버빌,43.008,9750,7,2000
201702,4,세종특별자치시 금남면 용포리,320,0,두진리버빌,43.008,9000,3,2000
201702,4,세종특별자치시 도담동,683,0,도램마을3단지(웅진스타클래스),59.97,30000,11,2014
201702,4,세종특별자치시 도담동,666,0,라온프라이빗시티 Ⅱ,19.62,9150,5,2014
201702,4,세종특별자치시 조치원읍 교리,11,1,계룡,59.28,9000,6,1989
