계약년월,계약일,시군구,본번,부번,건물명,전월세구분,전용면적(㎡),보증금(만원),월세(만원),층,건축년도
201702,22,세종특별자치시 조치원읍 정리,112,0,세진시티빌,전세,22.589,4000,0,4,2015
201702,22,세종특별자치시 조치원읍 정리,112,0,세진시티빌,전세,22.589,4000,0,5,2015
201702,23,세종특별자치시 조치원읍 정리,112,0,세진시티빌,월세,17.3137,1500,15,5,2015
201702,25,세종특별자치시 도담동,674,0,까사누보,월세,22.686,2000,35,6,2015
201703,4,세종특별자치시 조치원읍 남리,60,2,세종 팰리스 1동,전세,21.4,3000,0,4,2012
201703,10,세종특별자치시 도담동,674,0,까사누보,월세,27.6012,500,40,4,2015
201703,16,세종특별자치시 금남면 도남리,95,0,금강의휴양림마을(프로방스빌),월세,52.182,1000,40,4,2015
201703,21,세종특별자치시 부강면 부강리,401,180,주연빌라,전세,44.93,3000,0,1,1991
201703,22,세종특별자치시 조치원읍 남리,62,6,세종 팰리스 3동,전세,14.86,3000,0,3,2012
201703,29,세종특별자치시 조치원읍 남리,60,8,세종 팰리스 2동,전세,14.54,3300,0,3,2012
201704,2,세종특별자치시 도담동,674,0,까사누보,월세,22.686,500,38,6,2015
201704,20,세종특별자치시 조치원읍 신흥리,24,3,신흥연립,전세,70.42,3000,0,2,1982
201705,6,세종특별자치시 조치원읍 신흥리,106,0,주공연립,월세,57.51,3000,20,3,1984
201705,10,세종특별자치시 조치원읍 남리,60,2,세종 팰리스 1동,전세,15.51,3000,0,4,2012
201705,13,세종특별자치시 조치원읍 남리,60,8,세종 팰리스 2동,전세,23.16,3300,0,4,2012
201705,18,세종특별자치시 조치원읍 남리,60,2,세종 팰리스 1동,전세,14.53,3000,0,4,2012
201705,19,세종특별자치시 도담동,674,0,까사누보,월세,22.686,500,40,5,2015
201705,23,세종특별자치시 조치원읍 정리,44,8,(44-8),전세,77.4,3000,0,1,1990
201705,27,세종특별자치시 조치원읍 서창리,182,0,서창연립,월세,50.32,1000,22,3,1986
201705,31,세종특별자치시 조치원읍 서창리,140,28,장미연립,전세,48.69,4000,0,3,1991
201706,4,세종특별자치시 도담동,674,0,까사누보,월세,21.422,500,38,5,2015
201706,16,세종특별자치시 조치원읍 남리,60,2,세종 팰리스 1동,전세,37.4,3000,0,2,2012
201706,20,세종특별자치시 금남면 도남리,95,0,금강의휴양림마을(프로방스빌),월세,54.342,1000,35,2,2015
201706,20,세종특별자치시 금남면 도남리,95,0,금강의휴양림마을(프로방스빌),월세,54.342,2000,25,1,2015
201706,22,세종특별자치시 조치원읍 교리,7,3,교동거성빌라,전세,46.89,4500,0,2,1991
201706,29,세종특별자치시 도담동,674,0,까사누보,월세,22.7964,500,37,3,2015
201707,4,세종특별자치시 도담동,674,0,까사누보,월세,22.686,500,35,5,2015
201707,4,세종특별자치시 도담동,674,0,까사누보,월세,21.422,500,38,5,2015
201707,4,세종특별자치시 조치원읍 상리,121,4,제이드팰리스,월세,32.21,2000,30,5,2015
201707,10,세종특별자치시 도담동,674,0,까사누보,월세,22.686,500,38,5,2015
201707,17,세종특별자치시 전의면 동교리,197,20,재동빌라,전세,69.96,3000,0,4,1993
201707,23,세종특별자치시 조치원읍 상리,124,2,다원Ⅱ,전세,19.52,4000,0,3,2014
201707,26,세종특별자치시 도담동,674,0,까사누보,전세,22.686,8500,0,6,2015
201707,30,세종특별자치시 조치원읍 신흥리,106,0,주공연립,월세,55.35,500,30,1,1984
201708,16,세종특별자치시 조치원읍 남리,60,8,세종 팰리스 2동,월세,14.67,2000,10,2,2012
201708,16,세종특별자치시 조치원읍 죽림리,4,9,동진빌라(나),전세,48.41,6500,0,3,1990
201708,23,세종특별자치시 조치원읍 상리,124,2,다원Ⅱ,월세,18.94,200,28,5,2014
201708,28,세종특별자치시 도담동,674,0,까사누보,월세,33.418,500,45,3,2015
201708,31,세종특별자치시 도담동,674,0,까사누보,월세,21.422,500,35,6,2015
201709,2,세종특별자치시 도담동,674,0,까사누보,월세,22.686,1000,33,5,2015
201709,7,세종특별자치시 금남면 도남리,95,0,금강의휴양림마을(프로방스빌),월세,54.342,2000,30,4,2015
201709,8,세종특별자치시 조치원읍 명리,79,1,장안하이빌,월세,18.6527,300,30,4,2012
201709,9,세종특별자치시 조치원읍 신흥리,106,0,주공연립,전세,67.9,3000,0,1,1984
201709,17,세종특별자치시 조치원읍 침산리,276,6,그린파인,월세,14.25,30,27,3,2013
201709,22,세종특별자치시 금남면 도남리,95,0,금강의휴양림마을(프로방스빌),월세,54.342,500,45,4,2015
201709,25,세종특별자치시 조치원읍 상리,121,4,제이드팰리스,월세,29.99,1500,40,5,2015
201709,26,세종특별자치시 조치원읍 상리,121,4,제이드팰리스,전세,25.41,3000,0,7,2015
201709,27,세종특별자치시 금남면 용포리,148,4,금융주택(148-4),전세,57.24,4000,0,3,1992
201709,28,세종특별자치시 조치원읍 정리,112,0,세진시티빌,전세,16.661,2700,0,2,2015
201709,30,세종특별자치시 도담동,674,0,까사누보,월세,22.686,500,36,5,2015
201709,30,세종특별자치시 조치원읍 남리,60,2,세종 팰리스 1동,전세,14.53,3000,0,2,2012
201710,26,세종특별자치시 조치원읍 신흥리,24,3,신흥연립,전세,70.42,4200,0,3,1982
201711,8,세종특별자치시 조치원읍 신흥리,106,0,주공연립,월세,67.9,1000,30,1,1984
201711,18,세종특별자치시 도담동,674,0,까사누보,월세,21.422,500,30,3,2015
201711,25,세종특별자치시 조치원읍 침산리,275,1,Juniper Hille,전세,18.81,4000,0,2,2013
201711,30,세종특별자치시 부강면 부강리,990,5,상당7동,월세,37.33,1000,20,-1,1990
201712,1,세종특별자치시 조치원읍 죽림리,10,3,현대,월세,61.76,500,30,2,1985
201712,3,세종특별자치시 도담동,674,0,까사누보,월세,22.7964,400,50,3,2015
201712,16,세종특별자치시 조치원읍 서창리,297,8,강원빌,월세,23.7569,100,30,5,2013
201712,18,세종특별자치시 도담동,674,0,까사누보,월세,21.422,300,35,4,2015
201712,18,세종특별자치시 조치원읍 죽림리,10,3,현대,월세,61.76,500,27,3,1985
201712,20,세종특별자치시 도담동,674,0,까사누보,월세,22.686,1000,35,3,2015
201712,22,세종특별자치시 조치원읍 서창리,295,6,홈인 레지던스,전세,17.66,3800,0,2,2013
201712,23,세종특별자치시 조치원읍 정리,112,0,세진시티빌,월세,22.589,100,30,4,2015
201712,26,세종특별자치시 조치원읍 정리,112,0,세진시티빌,월세,16.661,1200,10,2,2015
201801,4,세종특별자치시 조치원읍 침산리,275,1,Juniper Hille,전세,20.85,4000,0,2,2013
201801,4,세종특별자치시 조치원읍 침산리,275,1,Juniper Hille,전세,22.2,4000,0,5,2013
201801,6,세종특별자치시 조치원읍 남리,37,4,동그라미,월세,12.828,200,28,4,2013
201801,6,세종특별자치시 조치원읍 남리,60,8,세종 팰리스 2동,전세,13.75,3000,0,3,2012
201801,22,세종특별자치시 조치원읍 신흥리,106,0,주공연립,월세,67.9,500,35,2,1984
201801,27,세종특별자치시 조치원읍 남리,62,6,세종 팰리스 3동,월세,14.54,200,30,3,2012
201802,3,세종특별자치시 도담동,674,0,까사누보,월세,22.686,3000,15,5,2015
201802,5,세종특별자치시 도담동,674,0,까사누보,월세,21.422,500,35,6,2015
201802,5,세종특별자치시 조치원읍 교리,15,8,(15-8),월세,18.8434,200,15,3,2012
201802,5,세종특별자치시 조치원읍 남리,60,8,세종 팰리스 2동,월세,14.54,3000,3,3,2012
201802,6,세종특별자치시 도담동,674,0,까사누보,월세,21.422,500,35,4,2015
201802,6,세종특별자치시 도담동,674,0,까사누보,월세,21.422,500,35,4,2015
201802,8,세종특별자치시 도담동,674,0,까사누보,월세,21.422,300,35,6,2015
201802,10,세종특별자치시 조치원읍 남리,60,2,세종 팰리스 1동,월세,14.07,2000,10,2,2012
201802,13,세종특별자치시 조치원읍 신흥리,121,7,제일오피스텔,월세,31.66,100,30,4,2014
201803,1,세종특별자치시 조치원읍 상리,121,4,제이드팰리스,전세,22.04,3000,0,7,2015
201803,3,세종특별자치시 도담동,674,0,까사누보,월세,22.686,500,39,5,2015
201803,3,세종특별자치시 조치원읍 남리,60,8,세종 팰리스 2동,전세,14.67,3200,0,2,2012
201803,5,세종특별자치시 금남면 용포리,82,0,세룡빌라,월세,59.49,500,40,4,1994
201803,5,세종특별자치시 조치원읍 침산리,251,4,더웰타운,월세,13.6912,100,25,3,2012
201803,7,세종특별자치시 도담동,674,0,까사누보,월세,21.422,500,33,3,2015
201803,8,세종특별자치시 조치원읍 침산리,275,1,Juniper Hille,전세,18.81,4000,0,2,2013
201803,9,세종특별자치시 도담동,674,0,까사누보,월세,27.6012,500,35,3,2015
201803,14,세종특별자치시 조치원읍 신흥리,106,0,주공연립,전세,55.35,6500,0,2,1984
201803,19,세종특별자치시 도담동,674,0,까사누보,월세,22.686,300,35,6,2015
201803,22,세종특별자치시 조치원읍 남리,60,2,세종 팰리스 1동,전세,14.53,3000,0,2,2012
201803,25,세종특별자치시 조치원읍 남리,62,6,세종 팰리스 3동,월세,21.56,3000,3,4,2012
201803,26,세종특별자치시 조치원읍 상리,121,4,제이드팰리스,전세,22.96,3000,0,7,2015
201803,28,세종특별자치시 조치원읍 신흥리,106,0,주공연립,월세,67.9,500,40,1,1984
201804,2,세종특별자치시 조치원읍 침산리,283,4,해솔마을A동,전세,20.92,3700,0,2,2013
201804,8,세종특별자치시 조치원읍 침산리,167,6,용성빌라,전세,64.23,1300,0,3,1991
201804,10,세종특별자치시 조치원읍 남리,60,2,세종 팰리스 1동,월세,15.51,1500,13,4,2012
201804,16,세종특별자치시 도담동,674,0,까사누보,월세,22.686,500,38,5,2015
201804,21,세종특별자치시 도담동,674,0,까사누보,월세,22.7964,500,36,4,2015
201804,21,세종특별자치시 도담동,674,0,까사누보,월세,21.422,500,35,4,2015
201805,12,세종특별자치시 조치원읍 정리,112,0,세진시티빌,월세,20.0687,2000,15,5,2015
201805,14,세종특별자치시 연기면 연기리,3,15,(3-15),월세,79.39,300,40,3,2015
201805,18,세종특별자치시 조치원읍 신흥리,17,1,"우성빌라(다,라동)",전세,55.05,3000,0,4,1991
201805,19,세종특별자치시 조치원읍 죽림리,4,11,동진빌라(가),전세,48.41,5000,0,3,1990
201805,23,세종특별자치시 도담동,674,0,까사누보,월세,22.686,500,36,4,2015
201805,23,세종특별자치시 조치원읍 신흥리,78,14,이 룸,전세,52.43,7000,0,5,2014
201805,29,세종특별자치시 금남면 도남리,95,0,금강의휴양림마을(프로방스빌),월세,52.182,1000,45,4,2015
201806,7,세종특별자치시 도담동,674,0,까사누보,월세,22.686,500,36,4,2015
201806,14,세종특별자치시 조치원읍 교리,3,0,제일,월세,51.21,1000,35,3,1988
201806,16,세종특별자치시 조치원읍 정리,112,0,세진시티빌,월세,17.3137,1500,15,5,2015
201806,22,세종특별자치시 금남면 용포리,107,0,금융주택(107),전세,59.2,4500,0,3,1991
201806,30,세종특별자치시 조치원읍 침산리,263,1,화이트맨션,전세,66.94,5000,0,3,2003
201807,5,세종특별자치시 도담동,674,0,까사누보,월세,22.686,300,35,6,2015
201807,9,세종특별자치시 소담동,36,11,아이콤 스타 시티,월세,22.167,3000,25,8,2018
201807,9,세종특별자치시 조치원읍 신흥리,106,0,주공연립,전세,67.9,6000,0,2,1984
201807,9,세종특별자치시 조치원읍 정리,112,0,세진시티빌,월세,18.8283,2000,17,3,2015
201807,11,세종특별자치시 조치원읍 정리,112,0,세진시티빌,월세,24.2841,2000,20,2,2015
201807,13,세종특별자치시 도담동,674,0,까사누보,월세,22.686,500,38,3,2015
201807,20,세종특별자치시 조치원읍 정리,112,0,세진시티빌,전세,16.661,2800,0,2,2015
201807,25,세종특별자치시 조치원읍 서창리,293,9,모던 아트빌,월세,20.14,100,33,3,2013
201807,29,세종특별자치시 조치원읍 상리,124,2,다원Ⅱ,전세,19.52,4000,0,3,2014
201808,4,세종특별자치시 도담동,674,0,까사누보,월세,33.418,300,38,3,2015
201808,5,세종특별자치시 조치원읍 정리,112,0,세진시티빌,전세,15.725,2600,0,4,2015
201808,7,세종특별자치시 조치원읍 정리,112,0,세진시티빌,전세,22.589,4000,0,3,2015
201808,8,세종특별자치시 전의면 동교리,200,5,아카시아빌라,전세,76.5,5000,0,1,1997
201808,9,세종특별자치시 조치원읍 상리,121,4,제이드팰리스,전세,27.33,4000,0,4,2015
201808,9,세종특별자치시 조치원읍 정리,112,0,세진시티빌,월세,16.661,200,26,2,2015
201808,10,세종특별자치시 조치원읍 상리,121,4,제이드팰리스,월세,21.72,3000,5,7,2015
201808,18,세종특별자치시 조치원읍 정리,112,0,세진시티빌,전세,15.881,2700,0,5,2015
201808,25,세종특별자치시 조치원읍 상리,124,2,다원Ⅱ,월세,19.52,1000,26,5,2014
201808,27,세종특별자치시 도담동,674,0,까사누보,월세,22.7964,500,35,6,2015
201808,31,세종특별자치시 조치원읍 서창리,295,6,홈인 레지던스,전세,20.22,4000,0,2,2013
201809,2,세종특별자치시 조치원읍 남리,60,2,세종 팰리스 1동,월세,14.07,2900,3,4,2012
201809,3,세종특별자치시 조치원읍 신흥리,106,0,주공연립,월세,55.35,300,30,3,1984
201809,5,세종특별자치시 조치원읍 신흥리,106,0,주공연립,전세,67.9,6000,0,1,1984
201809,8,세종특별자치시 도담동,674,0,까사누보,월세,21.422,100,45,3,2015
201809,20,세종특별자치시 부강면 부강리,526,0,(526-0),월세,64.82,1000,50,3,2012
201810,11,세종특별자치시 조치원읍 신흥리,106,0,주공연립,전세,55.35,4500,0,3,1984
201810,13,세종특별자치시 조치원읍 남리,60,8,세종 팰리스 2동,월세,16.28,2500,5,4,2012
201810,21,세종특별자치시 조치원읍 신흥리,106,0,주공연립,월세,55.35,500,28,2,1984
201811,8,세종특별자치시 조치원읍 침산리,283,4,해솔마을A동,전세,42.1,6000,0,4,2013
201811,14,세종특별자치시 금남면 용포리,107,0,금융주택(107),월세,59.2,300,25,4,1991
201811,17,세종특별자치시 조치원읍 신흥리,106,0,주공연립,월세,57.51,500,32,3,1984
201811,21,세종특별자치시 조치원읍 명리,23,3,QueenPalace,월세,51.37,6000,20,5,2013
201811,22,세종특별자치시 금남면 도남리,97,0,금강휴양림마을(프로방스빌),월세,55.634,1000,40,1,2015
201811,26,세종특별자치시 조치원읍 남리,60,2,세종 팰리스 1동,월세,15.51,3000,3,4,2012
201811,26,세종특별자치시 조치원읍 남리,60,2,세종 팰리스 1동,전세,15.51,3000,0,4,2012
201812,2,세종특별자치시 장군면 도계리,6,5,삼손빌라,전세,83.89,4000,0,1,1999
201812,15,세종특별자치시 조치원읍 침산리,148,0,거성주택AB,전세,39.48,4500,0,1,1989
201812,23,세종특별자치시 조치원읍 정리,112,0,세진시티빌,월세,22.589,2500,8,4,2015
201812,28,세종특별자치시 도담동,674,0,까사누보,월세,22.686,2000,30,6,2015
201812,31,세종특별자치시 조치원읍 상리,121,4,제이드팰리스,전세,29.99,5000,0,5,2015
201901,6,세종특별자치시 조치원읍 침산리,283,4,해솔마을A동,월세,18.3,200,27,2,2013
201901,7,세종특별자치시 도담동,674,0,까사누보,월세,27.6012,500,35,3,2015
201901,10,세종특별자치시 연서면 월하리,637,36,성은주택,전세,59.4,5000,0,1,1984
201901,10,세종특별자치시 연서면 월하리,637,36,성은주택,전세,59.4,5000,0,1,1984
201901,11,세종특별자치시 도담동,674,0,까사누보,월세,22.686,500,38,3,2015
201901,16,세종특별자치시 도담동,674,0,까사누보,월세,21.422,300,34,5,2015
201901,18,세종특별자치시 조치원읍 교리,15,8,(15-8),월세,20.9849,200,15,3,2012
201901,20,세종특별자치시 도담동,674,0,까사누보,월세,22.686,400,40,4,2015
201901,21,세종특별자치시 도담동,674,0,까사누보,월세,21.422,500,35,4,2015
201901,22,세종특별자치시 조치원읍 서창리,293,9,모던 아트빌,전세,20.14,3500,0,3,2013
201901,26,세종특별자치시 보람동,629,1,스타힐타워Ⅱ(C2-4),월세,16.9849,300,35,7,2016
201901,31,세종특별자치시 조치원읍 정리,112,0,세진시티빌,전세,16.661,2800,0,2,2015
201902,1,세종특별자치시 조치원읍 신흥리,121,7,제일오피스텔,전세,28.09,3000,0,4,2014
201902,7,세종특별자치시 조치원읍 봉산리,190,11,마이움 102동,전세,20.16,2000,0,3,2014
201902,7,세종특별자치시 조치원읍 정리,112,0,세진시티빌,전세,16.85,3300,0,5,2015
201902,7,세종특별자치시 조치원읍 죽림리,208,2,죽림,전세,58.55,2000,0,4,1982
201902,8,세종특별자치시 조치원읍 봉산리,190,13,마이움 101동,전세,15.04,2000,0,3,2014
201902,9,세종특별자치시 도담동,674,0,까사누보,월세,21.422,500,35,4,2015
201902,10,세종특별자치시 도담동,674,0,까사누보,월세,27.6012,500,35,4,2015
201902,11,세종특별자치시 조치원읍 남리,60,8,세종 팰리스 2동,전세,14.67,3000,0,3,2012
201902,11,세종특별자치시 조치원읍 신흥리,106,0,주공연립,전세,55.35,6000,0,1,1984
201902,12,세종특별자치시 조치원읍 침산리,275,1,Juniper Hille,월세,20.85,100,30,5,2013
201902,14,세종특별자치시 부강면 부강리,526,0,(526-0),전세,64.82,8000,0,3,2012
201902,14,세종특별자치시 조치원읍 신안리,387,7,비스하우스,월세,17.51,20,32,5,2013
201902,14,세종특별자치시 조치원읍 신흥리,78,14,이 룸,전세,51.17,7000,0,2,2014
201902,15,세종특별자치시 보람동,629,1,스타힐타워Ⅱ(C2-4),월세,27.4429,300,41,6,2016
201902,15,세종특별자치시 조치원읍 봉산리,190,13,마이움 101동,전세,14.81,2000,0,3,2014
201902,17,세종특별자치시 조치원읍 봉산리,190,11,마이움 102동,전세,20.16,2500,0,4,2014
201902,20,세종특별자치시 반곡동,771,87,씨즈파크뷰,월세,21.9063,3000,25,5,2019
201903,1,세종특별자치시 반곡동,771,87,씨즈파크뷰,전세,22.0568,9000,0,6,2019
201903,1,세종특별자치시 반곡동,771,87,씨즈파크뷰,월세,23.7301,3000,30,5,2019
201903,3,세종특별자치시 도담동,674,0,까사누보,월세,21.422,300,39,6,2015
201903,5,세종특별자치시 조치원읍 남리,354,0,세종2차굿애플,월세,21.12,100,26,4,2014
201903,12,세종특별자치시 조치원읍 상리,121,4,제이드팰리스,전세,26.88,3000,0,6,2015
201903,24,세종특별자치시 부강면 부강리,988,15,안흥1동,전세,54.28,3000,0,4,1991
201903,26,세종특별자치시 조치원읍 정리,112,0,세진시티빌,전세,22.589,4200,0,5,2015
201904,18,세종특별자치시 도담동,674,0,까사누보,월세,21.422,500,37,4,2015
201904,25,세종특별자치시 조치원읍 명리,23,3,QueenPalace,월세,51.37,7000,13,2,2013
201904,30,세종특별자치시 조치원읍 신흥리,106,0,주공연립,전세,67.9,7000,0,1,1984
201905,3,세종특별자치시 조치원읍 교리,3,0,제일,월세,51.21,500,30,2,1988
201905,6,세종특별자치시 조치원읍 침산리,148,0,거성주택AB,월세,39.48,300,30,1,1989
201905,7,세종특별자치시 도담동,674,0,까사누보,월세,21.422,500,35,4,2015
201905,10,세종특별자치시 도담동,674,0,까사누보,월세,21.422,300,36,5,2015
201905,10,세종특별자치시 도담동,674,0,까사누보,월세,21.422,300,34,5,2015
201905,15,세종특별자치시 반곡동,771,68,더스테이빌딩,월세,35.7788,3000,40,6,2018
201906,3,세종특별자치시 조치원읍 신흥리,106,0,주공연립,전세,67.9,6000,0,2,1984
201906,6,세종특별자치시 조치원읍 정리,112,0,세진시티빌,전세,20.0687,3500,0,3,2015
201906,10,세종특별자치시 조치원읍 남리,60,8,세종 팰리스 2동,전세,14.54,3000,0,2,2012
201906,15,세종특별자치시 조치원읍 정리,112,0,세진시티빌,전세,20.0687,1500,0,4,2015
201906,20,세종특별자치시 연기면 보통리,340,11,강람6동강람7동,전세,58.77,2500,0,3,1993
201906,22,세종특별자치시 조치원읍 신흥리,121,7,제일오피스텔,전세,28.09,3500,0,4,2014
201906,24,세종특별자치시 조치원읍 침산리,275,1,Juniper Hille,전세,20.85,4000,0,3,2013
201906,26,세종특별자치시 반곡동,771,87,씨즈파크뷰,전세,21.9063,8000,0,5,2019
201906,28,세종특별자치시 도담동,674,0,까사누보,월세,27.6012,500,35,3,2015
201907,22,세종특별자치시 부강면 부강리,127,1,THE숲아파텔,월세,34.09,500,45,7,2019
201907,22,세종특별자치시 조치원읍 봉산리,190,7,마이움 103동,전세,50.42,5000,0,2,2014
201907,28,세종특별자치시 조치원읍 남리,60,2,세종 팰리스 1동,월세,14.53,2700,3,4,2012
201908,5,세종특별자치시 조치원읍 남리,473,0,세움퍼스트빌,월세,31.79,500,40,3,2013
201908,6,세종특별자치시 조치원읍 신흥리,106,0,주공연립,전세,55.35,1500,0,1,1984
201908,7,세종특별자치시 조치원읍 서창리,295,6,홈인 레지던스,전세,17.78,3500,0,3,2013
201908,7,세종특별자치시 조치원읍 정리,112,0,세진시티빌,월세,15.881,1500,12,3,2015
201908,13,세종특별자치시 전의면 관정리,262,6,홍성맨션3차,월세,53.965,50,20,4,2002
201908,18,세종특별자치시 조치원읍 원리,132,4,고려3동,전세,80.687,3500,0,1,1984
201908,19,세종특별자치시 조치원읍 명리,79,1,장안하이빌,전세,18.6527,3500,0,5,2012
201908,23,세종특별자치시 조치원읍 교리,15,8,(15-8),월세,20.9849,300,15,4,2012
201908,24,세종특별자치시 조치원읍 정리,112,0,세진시티빌,전세,16.661,2800,0,2,2015
201908,26,세종특별자치시 조치원읍 침산리,283,4,해솔마을A동,전세,20.92,4000,0,2,2013
201908,28,세종특별자치시 조치원읍 봉산리,190,13,마이움 101동,전세,15.04,3500,0,1,2014
201908,30,세종특별자치시 조치원읍 봉산리,190,13,마이움 101동,전세,14.81,3500,0,1,2014
201909,2,세종특별자치시 반곡동,771,87,씨즈파크뷰,전세,21.9063,8500,0,6,2019
201909,5,세종특별자치시 조치원읍 정리,112,0,세진시티빌,월세,18.8283,500,34,3,2015
201909,17,세종특별자치시 조치원읍 신흥리,78,14,이 룸,월세,41.44,2000,34,4,2014
201909,23,세종특별자치시 연기면 보통리,340,8,강람4동강람5동,전세,48.6,3000,0,1,1991
201909,23,세종특별자치시 조치원읍 원리,132,4,고려3동,전세,63.175,2200,0,3,1984
201909,26,세종특별자치시 조치원읍 신흥리,121,10,신흥빌라,전세,48.3,3200,0,1,1989
201910,12,세종특별자치시 조치원읍 정리,112,0,세진시티빌,월세,23.9406,1500,31,4,2015
201910,15,세종특별자치시 조치원읍 침산리,275,1,Juniper Hille,전세,22.2,4000,0,4,2013
201910,18,세종특별자치시 반곡동,771,87,씨즈파크뷰,전세,21.9063,8925,0,3,2019
201910,18,세종특별자치시 전의면 관정리,262,4,홍성맨션1차,전세,53.965,3000,0,4,2002
201910,23,세종특별자치시 조치원읍 신흥리,106,0,주공연립,전세,57.51,6000,0,3,1984
201911,15,세종특별자치시 금남면 용포리,107,0,금융주택(107),전세,59.2,2500,0,4,1991
201911,16,세종특별자치시 조치원읍 상리,121,4,제이드팰리스,월세,32.21,1000,45,6,2015
201911,16,세종특별자치시 조치원읍 정리,112,0,세진시티빌,전세,18.8283,3500,0,3,2015
201911,18,세종특별자치시 조치원읍 남리,62,6,세종 팰리스 3동,전세,20.28,2800,0,4,2012
201911,19,세종특별자치시 조치원읍 신흥리,106,0,주공연립,월세,67.9,1000,30,2,1984
201912,6,세종특별자치시 조치원읍 정리,112,0,세진시티빌,월세,20.2003,1000,30,3,2015
201912,8,세종특별자치시 보람동,628,2,스타힐타워Ⅰ(C2-3),전세,21.6349,8500,0,5,2016
201912,9,세종특별자치시 조치원읍 침산리,275,1,Juniper Hille,전세,18.81,4000,0,3,2013
201912,16,세종특별자치시 조치원읍 신흥리,78,14,이 룸,전세,41.44,7000,0,5,2014
201912,20,세종특별자치시 조치원읍 남리,11,7,선일빌라1,전세,49,5000,0,2,1991
201912,26,세종특별자치시 조치원읍 명리,23,3,QueenPalace,전세,51.37,10000,0,3,2013
201912,26,세종특별자치시 조치원읍 서창리,295,6,홈인 레지던스,전세,17.66,3800,0,2,2013
201912,27,세종특별자치시 도담동,674,0,까사누보,월세,22.7964,500,40,5,2015
201912,29,세종특별자치시 보람동,628,2,스타힐타워Ⅰ(C2-3),월세,21.6349,300,43,6,2016
202001,4,세종특별자치시 보람동,628,2,스타힐타워Ⅰ(C2-3),월세,21.6349,300,27,7,2016
202001,5,세종특별자치시 보람동,628,2,스타힐타워Ⅰ(C2-3),월세,26.5949,500,45,5,2016
202001,5,세종특별자치시 부강면 부강리,973,13,블루빌,전세,23.4947,6000,0,4,2019
202001,6,세종특별자치시 조치원읍 상리,121,4,제이드팰리스,월세,26.88,3000,5,6,2015
202001,7,세종특별자치시 조치원읍 상리,121,4,제이드팰리스,전세,25.41,3000,0,7,2015
202001,12,세종특별자치시 반곡동,771,87,씨즈파크뷰,전세,21.9063,8925,0,3,2019
202001,12,세종특별자치시 조치원읍 정리,112,0,세진시티빌,전세,27.2216,6000,0,3,2015
202001,13,세종특별자치시 조치원읍 봉산리,190,7,마이움 103동,월세,50.42,500,40,1,2014
202001,17,세종특별자치시 보람동,629,1,스타힐타워Ⅱ(C2-4),월세,21.6349,300,42,5,2016
202001,30,세종특별자치시 보람동,629,1,스타힐타워Ⅱ(C2-4),월세,25.2685,300,45,8,2016
